Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,state
8/2/2015,1.45,75133.1,509.94,62035.06,741.08,11847.2,11768.52,78.5,,conventional,2015,Albany,NewYork
7/26/2015,1.11,106757.1,648.75,91949.05,966.61,13192.69,1361.53,131.16,,conventional,2015,Albany,NewYork
7/19/2015,1.26,96617,1042.1,82049.4,2238.02,11287.48,1113.49,183.99,,conventional,2015,Albany,NewYork
7/12/2015,1.05,124055.31,672.25,94693.52,4257.64,24431.9,2429.8,18.49,33.33,conventional,2015,Albany,NewYork
7/5/2015,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,,conventional,2015,Albany,NewYork
6/28/2015,1.37,89534.81,664.23,57545.79,4662.71,26662.8,26311.76,35.32,,conventional,2015,Albany,NewYork
6/21/2015,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,,conventional,2015,Albany,NewYork
6/14/2015,1.32,89631.3,850.58,55400.94,4377.19,292.59,28343.14,659.45,,conventional,2015,Albany,NewYork
6/7/2015,1.07,122743.06,656.71,99220.82,90.32,22775.21,22314.99,46.22,,conventional,2015,Albany,NewYork
5/31/2015,1.23,95123.62,922.37,70469.69,50.55,23681.1,23222.49,458.52,,conventional,2015,Albany,NewYork
5/24/2015,1.19,101470.91,680.27,71376.81,58.7,29355.13,28761.81,593.32,,conventional,2015,Albany,NewYork
5/17/2015,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.1,,conventional,2015,Albany,NewYork
5/10/2015,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,,conventional,2015,Albany,NewYork
5/3/2015,1.2,59197.67,919.87,45490.05,217.24,1257.51,1221.95,368.56,,conventional,2015,Albany,NewYork
4/26/2015,1.22,49585.46,875.65,35841.75,89.62,12778.44,1276.83,71.61,,conventional,2015,Albany,NewYork
4/19/2015,1.19,49064.73,774.15,33941.51,47.15,1431.92,1362.97,698.95,,conventional,2015,Albany,NewYork
4/12/2015,1.13,48364.29,864.27,30374.15,21.5,1714.37,16438.49,665.88,,conventional,2015,Albany,NewYork
4/5/2015,1.16,47362.13,961.77,35577.66,93.76,1728.94,9869.16,755.61,14.17,conventional,2015,Albany,NewYork
3/29/2015,1.02,67799.08,1402.28,58623.22,89.5,7684.8,728.49,475.59,,conventional,2015,Albany,NewYork
3/22/2015,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.6,,conventional,2015,Albany,NewYork
3/15/2015,1.11,43045.79,2128.26,30447.17,99.67,137.69,9989.59,381.1,,conventional,2015,Albany,NewYork
3/8/2015,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,,conventional,2015,Albany,NewYork
3/1/2015,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.6,165.39,,conventional,2015,Albany,NewYork
2/22/2015,1.07,45675.05,1088.38,35056.13,151,9379.54,9.16,379.38,,conventional,2015,Albany,NewYork
2/15/2015,1.06,41567.62,986.66,30045.51,222.42,1313.3,9979.87,333.16,,conventional,2015,Albany,NewYork
2/8/2015,0.99,51253.97,1357.37,39111.81,163.25,1621.54,1113.1,58.44,,conventional,2015,Albany,NewYork
2/1/2015,0.99,70873.6,1353.9,60017.2,179.32,9323.18,917.82,152.36,,conventional,2015,Albany,NewYork
1/25/2015,1.06,45147.5,941.38,33196.16,164.14,1845.82,113.35,742.47,,conventional,2015,Albany,NewYork
1/18/2015,1.17,44511.28,914.14,31540.32,135.77,11921.5,11651.9,269.96,,conventional,2015,Albany,NewYork
1/11/2015,1.24,41195.08,1002.85,31640.34,127.12,8424.77,836.4,388.73,,conventional,2015,Albany,NewYork
1/4/2015,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,,conventional,2015,Albany,NewYork
12/25/2016,1.52,73341.73,3202.39,58280.33,426.92,11432.9,1117.32,411.83,2.94,conventional,2016,Albany,NewYork
12/18/2016,1.53,68938.53,3345.36,55949.79,138.72,954.66,8876.65,587.73,4.28,conventional,2016,Albany,NewYork
12/11/2016,1.49,71777.85,2323.39,56545.79,86.65,12822.2,12176.75,645.27,,conventional,2016,Albany,NewYork
12/4/2016,1.48,113031.96,6530.78,99746.05,50.84,674.29,6476.12,228.17,,conventional,2016,Albany,NewYork
11/27/2016,1.52,58171.89,2793.99,47106.18,18.14,8253.58,7973.98,279.6,,conventional,2016,Albany,NewYork
11/20/2016,1.56,70089.51,3675.63,56898.54,11,954.34,9238.4,29,56.94,conventional,2016,Albany,NewYork
11/13/2016,1.62,63608.01,3523.63,49837.68,34,1212.7,979.67,422.3,,conventional,2016,Albany,NewYork
11/6/2016,1.63,57178.2,3212.04,43024.32,36.4,195.44,1474.9,431.35,,conventional,2016,Albany,NewYork
10/30/2016,1.46,58375.1,3187.14,45898.52,54.31,9235.13,9153.12,82.1,,conventional,2016,Albany,NewYork
10/23/2016,1.19,92080.35,4222.93,77537.36,46,1274.6,116.26,113.8,,conventional,2016,Albany,NewYork
10/16/2016,1.4,69060.9,4027.42,54186.55,53.77,1793.16,1434.39,358.77,,conventional,2016,Albany,NewYork
10/9/2016,1.13,101087.84,3641.46,87174.41,102.15,1169.82,9744.41,425.41,,conventional,2016,Albany,NewYork
10/2/2016,1.51,75480.26,4109.22,57515.76,84.08,13771.2,13345.52,425.68,,conventional,2016,Albany,NewYork
9/25/2016,1.62,96853.15,7658.55,79425.81,43.25,9725.54,9586.8,138.74,,conventional,2016,Albany,NewYork
9/18/2016,1.39,79513.63,6624.37,63384.56,37.48,9467.22,8958.14,59.8,,conventional,2016,Albany,NewYork
9/11/2016,1.37,81473.15,6258.88,63511.85,42.26,1166.16,1839.17,815.99,5,conventional,2016,Albany,NewYork
9/4/2016,1.44,95456.26,14741.13,64966.75,88.11,1566.27,1534.19,22.8,1,conventional,2016,Albany,NewYork
8/28/2016,1.18,145323.22,34912.97,94928.79,53.85,15427.61,14367.64,269.97,79,conventional,2016,Albany,NewYork
8/21/2016,1.43,94882.79,14520.36,63416.88,28.03,16917.52,15811,286.52,82,conventional,2016,Albany,NewYork
8/14/2016,1.2,110528.09,24000.62,72970.23,26.76,1353.48,12434.82,35.1,745.56,conventional,2016,Albany,NewYork
8/7/2016,1.48,99683.11,14670.87,69054.28,10.9,15947.6,14597.2,178.19,1171.67,conventional,2016,Albany,NewYork
7/31/2016,1.61,125586.57,9293.65,96915.41,25.46,19352.5,1883.23,78.82,47,conventional,2016,Albany,NewYork
7/24/2016,1.46,98321.14,11580.64,65195.63,13.73,21531.14,18639.29,241.85,265,conventional,2016,Albany,NewYork
7/17/2016,1.31,89228.02,9273.69,64260.69,80.07,15613.57,13439.76,688.81,1485,conventional,2016,Albany,NewYork
7/10/2016,1.11,131630.13,20970.24,96581.82,46.49,1431.58,1876,47.58,2685,conventional,2016,Albany,NewYork
7/3/2016,1.42,115907.61,8373.77,82122.04,146.83,25264.97,21872.64,492.33,29,conventional,2016,Albany,NewYork
6/26/2016,1.5,133086.66,7923.01,106656.84,37.42,18469.39,16479.75,419.64,157,conventional,2016,Albany,NewYork
6/19/2016,1.42,112817.51,6766.63,85374.27,30.07,2646.54,18526.59,389.95,173,conventional,2016,Albany,NewYork
6/12/2016,1.38,111394.5,7531.24,83771.34,81.25,21.67,18368.49,282.18,136,conventional,2016,Albany,NewYork
6/5/2016,1.47,115857.12,4288.46,92055.75,53.98,19458.93,17385.6,398.33,1675,conventional,2016,Albany,NewYork
5/29/2016,1.49,127812.25,2580.77,104876.94,103.64,225.9,19519.92,18.98,55,conventional,2016,Albany,NewYork
5/22/2016,1.34,98863.64,929.07,74678.36,59.07,23197.14,22571.49,2.65,65,conventional,2016,Albany,NewYork
5/15/2016,1.36,96924.19,901.65,75847.91,82.97,291.66,1982.87,288.79,,conventional,2016,Albany,NewYork
5/8/2016,1.27,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,,conventional,2016,Albany,NewYork
5/1/2016,1.03,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,48.61,conventional,2016,Albany,NewYork
4/24/2016,1.18,102490.2,954.6,87571.23,43.15,13921.22,13463.97,337.81,119.44,conventional,2016,Albany,NewYork
4/17/2016,1.22,86433.63,898.63,70042.6,25,15467.4,14642.65,712.25,112.5,conventional,2016,Albany,NewYork
4/10/2016,1.46,70253.3,972.15,56128.98,38,13114.17,12671.9,443.8,,conventional,2016,Albany,NewYork
4/3/2016,0.85,81694.23,676.27,70459.66,31.2,1527.1,158.25,468.85,,conventional,2016,Albany,NewYork
3/27/2016,1.49,92529.27,808.5,78146.18,36.73,13537.86,1337.43,5.43,,conventional,2016,Albany,NewYork
3/20/2016,1.32,110401.88,764.97,97082.4,70.15,12484.36,12286.1,198.35,,conventional,2016,Albany,NewYork
3/13/2016,1.18,108264.9,847.64,96117.13,60.99,11239.14,1817.56,421.58,,conventional,2016,Albany,NewYork
3/6/2016,1.27,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,,conventional,2016,Albany,NewYork
2/28/2016,1.26,87822.43,805.41,72159.95,63.13,14793.94,13739.89,154.5,,conventional,2016,Albany,NewYork
2/21/2016,1.28,99817.47,869.16,84484.99,24.98,14438.34,1228.58,2157.76,,conventional,2016,Albany,NewYork
2/14/2016,1.13,98008.16,1640.86,77133.01,12,19222.29,17663.46,1558.83,,conventional,2016,Albany,NewYork
2/7/2016,1.07,169614.01,2031.67,157271.87,109.88,12.59,9349.67,85.92,,conventional,2016,Albany,NewYork
1/31/2016,1.16,102038.32,1386.24,79881.67,69.46,27.95,19788.78,912.17,,conventional,2016,Albany,NewYork
1/24/2016,1.22,96089.13,545.37,70802.56,68.41,24672.79,23926.35,746.44,,conventional,2016,Albany,NewYork
1/17/2016,1.26,119972.41,1202.52,100613.46,51.22,1815.21,1798.53,124.68,,conventional,2016,Albany,NewYork
1/10/2016,1.28,79121.77,848.19,66696.97,109.08,11467.53,11293.65,173.88,,conventional,2016,Albany,NewYork
1/3/2016,1.03,149038.15,939.71,139735.9,132.35,823.19,856.43,173.76,,conventional,2016,Albany,NewYork
12/31/2017,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,,conventional,2017,Albany,NewYork
12/24/2017,1.45,77039.09,2811.71,58592.23,19.06,15616.9,6863.18,8752.91,,conventional,2017,Albany,NewYork
12/17/2017,1.43,70677.56,2578.95,50811.52,79.18,1727.91,8914.13,8293.78,,conventional,2017,Albany,NewYork
12/10/2017,1.29,92325.53,3220.05,75147.56,104.36,13853.56,7268.21,6585.35,,conventional,2017,Albany,NewYork
12/3/2017,1.39,139970,3772,126551,136,9511,761,245,,conventional,2017,Albany,NewYork
11/26/2017,1.5,62977,2413,49076,62,11426,559,6368,,conventional,2017,Albany,NewYork
11/19/2017,1.65,97273,2695,80596,43,1394,7536,644,,conventional,2017,Albany,NewYork
11/12/2017,1.26,113586,4509,96748,213,12115,86,419,,conventional,2017,Albany,NewYork
11/5/2017,1.62,71076.94,2483.36,55509.31,33.88,135.39,9877.42,3172.97,,conventional,2017,Albany,NewYork
10/29/2017,1.67,69432.23,2959.76,57585.49,57.94,8829.4,55.91,3778.13,,conventional,2017,Albany,NewYork
10/22/2017,1.56,69704.09,3758.8,57340.3,35.48,8569.51,511.64,3467.87,,conventional,2017,Albany,NewYork
10/15/2017,1.65,73574.89,3383.35,63355.37,62.45,6773.72,3882.2,2891.7,,conventional,2017,Albany,NewYork
10/8/2017,1.78,55368.61,3679.82,45843.75,42.63,582.41,2148.2,3654.21,,conventional,2017,Albany,NewYork
10/1/2017,1.69,71205.11,4411.02,57416.25,77.85,9299.99,569.66,423.33,,conventional,2017,Albany,NewYork
9/24/2017,1.64,68539.64,2508.62,56023.16,74.82,9933.4,5391.35,4541.69,,conventional,2017,Albany,NewYork
9/17/2017,1.41,80109.29,3986.2,66934.64,33.59,9154.86,5289.78,3851.75,13.33,conventional,2017,Albany,NewYork
9/10/2017,1.78,99645.88,3368.35,87155.11,136.96,8985.46,4559.36,3672.77,753.33,conventional,2017,Albany,NewYork
9/3/2017,1.76,74297.64,4738.38,59299.03,121.57,1138.66,4615.19,3646.8,1876.67,conventional,2017,Albany,NewYork
8/27/2017,1.61,75471.56,2156.2,59831.83,71.46,13412.7,9395.94,379.46,36.67,conventional,2017,Albany,NewYork
8/20/2017,1.61,74620.33,1553.71,59028.13,130.14,1398.35,8599.25,4155.77,1153.33,conventional,2017,Albany,NewYork
8/13/2017,1.52,133070.41,1947.26,118605.14,186.67,12331.34,831.97,3132.71,896.66,conventional,2017,Albany,NewYork
8/6/2017,1.53,92938.17,2456.91,76509.07,336.06,13636.13,5918.21,6844.59,873.33,conventional,2017,Albany,NewYork
7/30/2017,1.61,83599.96,1915.81,73287.66,321.62,874.87,5552.63,1932.24,59,conventional,2017,Albany,NewYork
7/23/2017,1.49,84416.61,1905.52,72533.28,940.58,937.23,325.3,4896.93,89,conventional,2017,Albany,NewYork
7/16/2017,1.39,102461.61,2468.78,86707.66,2546.08,1739.9,495.13,4788.96,1,conventional,2017,Albany,NewYork
7/9/2017,1.52,101331.41,2899.46,81929.02,494.51,168.42,8213.25,521.17,2585,conventional,2017,Albany,NewYork
7/2/2017,1.56,98282.07,2808.47,79968.24,741.19,14764.17,6549.32,6584.85,163,conventional,2017,Albany,NewYork
6/25/2017,1.53,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.6,115,conventional,2017,Albany,NewYork
6/18/2017,1.58,97079.34,2454.01,82154.43,723.07,11747.83,3875.12,6697.71,1175,conventional,2017,Albany,NewYork
6/11/2017,1.65,91949.26,1989.84,76736.87,364.68,12857.87,274.43,8235.11,1918.33,conventional,2017,Albany,NewYork
6/4/2017,1.7,84842.97,1923.04,72573.09,100.07,1246.77,2834.14,6342.63,17,conventional,2017,Albany,NewYork
5/28/2017,1.8,121869.11,2345.65,106690.16,105.74,12727.56,6141.75,629.14,556.67,conventional,2017,Albany,NewYork
5/21/2017,1.38,100256.85,2307.02,86817.51,334.01,1798.31,5338.56,523.8,256.67,conventional,2017,Albany,NewYork
5/14/2017,1.77,96750.67,2804.86,80469.48,196.39,13279.94,5727.85,7552.9,,conventional,2017,Albany,NewYork
5/7/2017,1.47,127193.26,2473.53,87791.87,121.07,3686.79,96.81,2725.98,,conventional,2017,Albany,NewYork
4/30/2017,1.13,124926.39,2573.11,99451.52,81.89,22819.87,1547.36,12272.51,,conventional,2017,Albany,NewYork
4/23/2017,1.34,89327.1,4437.5,61512.84,84.45,23292.31,8236.1,1556.3,,conventional,2017,Albany,NewYork
4/16/2017,1.62,90487.05,4362.98,71957.73,161.28,145.6,7179.98,6825.8,,conventional,2017,Albany,NewYork
4/9/2017,1.54,105436.11,3708.13,87775.86,44.28,1397.84,7121.61,6786.23,,conventional,2017,Albany,NewYork
4/2/2017,1.62,92621.11,4530.8,68015.37,97.26,19977.68,6332.44,13645.24,,conventional,2017,Albany,NewYork
3/26/2017,1.16,122951.65,3184.29,100854.22,70.17,18842.97,7252.7,1159.27,,conventional,2017,Albany,NewYork
3/19/2017,1.6,92774.61,2332.96,72033.15,140.57,18267.93,832.27,9965.66,,conventional,2017,Albany,NewYork
3/12/2017,1.54,95713.29,2046.8,67162.63,89.32,26414.54,199.8,15424.46,,conventional,2017,Albany,NewYork
3/5/2017,1.18,107354.25,3123.26,90784.49,57.86,13388.64,13277.29,111.35,,conventional,2017,Albany,NewYork
2/26/2017,1.4,88371.09,3190.28,73959.76,71.2,11149.85,191.4,239.45,,conventional,2017,Albany,NewYork
2/19/2017,1.67,95475.07,2702.57,81691.54,125.48,1955.48,1784.7,171.41,,conventional,2017,Albany,NewYork
2/12/2017,1.42,97215.94,3808.43,81070.44,175.6,12161.47,1165.91,51.56,,conventional,2017,Albany,NewYork
2/5/2017,1.49,183549.08,5666.6,165530.03,2119.02,1233.43,147.32,186.11,,conventional,2017,Albany,NewYork
1/29/2017,1.31,95424.59,3844.62,78315.15,484.56,1278.26,12393.84,382.6,4.36,conventional,2017,Albany,NewYork
1/22/2017,1.59,128679.24,4119.94,111173.08,2191.71,11194.51,116.19,125.5,8.82,conventional,2017,Albany,NewYork
1/15/2017,1.55,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,6.9,,conventional,2017,Albany,NewYork
1/8/2017,1.55,91728.18,3355.47,75641.23,56.91,12674.57,1266.67,67.9,,conventional,2017,Albany,NewYork
1/1/2017,1.47,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,,conventional,2017,Albany,NewYork
3/25/2018,1.57,149396.5,16361.69,109045.03,65.45,23924.33,19273.8,427.53,38,conventional,2018,Albany,NewYork
3/18/2018,1.35,105304.65,13234.86,61037.58,55,3977.21,26755.9,3721.31,5,conventional,2018,Albany,NewYork
3/11/2018,1.12,144648.75,15823.35,110950.68,70,1784.72,1448.52,333.9,291.11,conventional,2018,Albany,NewYork
3/4/2018,1.08,139520.6,12002.12,105069.57,95.62,22353.29,16128.51,5941.45,283.33,conventional,2018,Albany,NewYork
2/25/2018,1.28,104278.89,10368.77,59723.32,48,34138.8,3126.31,372.49,31,conventional,2018,Albany,NewYork
2/18/2018,1.43,85630.24,5499.73,61661.76,75,18393.75,15677.67,2336.8,38,conventional,2018,Albany,NewYork
2/11/2018,1.45,121804.36,8183.48,95548.47,61,1811.41,13264.91,4295.39,451.11,conventional,2018,Albany,NewYork
2/4/2018,1.03,216738.47,7625.65,195725.06,143.53,13244.23,1571.6,2422.63,25,conventional,2018,Albany,NewYork
1/28/2018,1.57,93625.03,3101.17,74627.23,55.59,15841.4,11614.79,4159.58,66.67,conventional,2018,Albany,NewYork
1/21/2018,1.69,135196.35,3133.37,116520.88,88.78,15453.32,123.79,5429.53,,conventional,2018,Albany,NewYork
1/14/2018,1.42,95246.38,2897.41,76570.67,44,15734.3,112.8,5721.5,,conventional,2018,Albany,NewYork
1/7/2018,1.13,98540.22,2940.63,76192.61,42.63,19364.35,8633.9,177.93,23.33,conventional,2018,Albany,NewYork
12/27/2015,1.83,989.55,8.16,88.59,0,892.8,892.8,,,organic,2015,Albany,NewYork
12/20/2015,1.89,1163.03,30.24,172.14,0,96.65,96.65,,,organic,2015,Albany,NewYork
12/13/2015,1.85,995.96,10.44,178.7,0,86.82,86.82,,,organic,2015,Albany,NewYork
12/6/2015,1.84,1158.42,90.29,104.18,0,963.95,948.52,15.43,,organic,2015,Albany,NewYork
11/29/2015,1.94,831.69,0,94.73,0,736.96,736.96,,,organic,2015,Albany,NewYork
11/22/2015,1.94,858.83,13.84,84.18,0,76.81,755.69,5.12,,organic,2015,Albany,NewYork
11/15/2015,1.89,1208.54,20.71,238.16,0,949.67,949.67,,,organic,2015,Albany,NewYork
11/8/2015,1.88,1332.27,20.08,351.4,0,96.79,96.79,,,organic,2015,Albany,NewYork
11/1/2015,1.88,1021.68,11.47,137.58,0,872.63,872.63,,,organic,2015,Albany,NewYork
10/25/2015,1.83,1161.9,49.27,148.96,0,963.67,963.67,,,organic,2015,Albany,NewYork
10/18/2015,1.97,969.29,10.31,158.07,0,8.91,8.91,,,organic,2015,Albany,NewYork
10/11/2015,1.9,1170.01,28.65,88.25,0,153.11,135.28,17.83,,organic,2015,Albany,NewYork
10/4/2015,1.98,1145.88,5.74,165.26,0,974.88,964.68,1.2,,organic,2015,Albany,NewYork
9/27/2015,1.98,814.13,13.79,140.23,0,66.11,66.11,,,organic,2015,Albany,NewYork
9/20/2015,1.98,774.2,42.63,228.13,0,53.44,53.44,,,organic,2015,Albany,NewYork
9/13/2015,1.99,902.5,13.86,105.13,0,783.51,783.51,,,organic,2015,Albany,NewYork
9/6/2015,1.86,1168.86,30.13,96.18,0,142.55,142.55,,,organic,2015,Albany,NewYork
8/30/2015,1.88,1239.16,17.27,65.08,0,1156.81,1156.81,,,organic,2015,Albany,NewYork
8/23/2015,1.87,1275.64,24.45,97.82,0,1153.37,1153.37,,,organic,2015,Albany,NewYork
8/16/2015,2,1467.23,24.56,168.41,0,1274.26,1274.26,,,organic,2015,Albany,NewYork
8/9/2015,1.88,1421.47,79.82,106.81,0,1234.84,1234.84,,,organic,2015,Albany,NewYork
8/2/2015,2,1223.94,17.66,103.62,0,112.66,112.66,,,organic,2015,Albany,NewYork
7/26/2015,2.01,1449.04,99.16,165.27,0,1184.61,1184.61,,,organic,2015,Albany,NewYork
7/19/2015,2.08,1076.23,50.86,112.36,0,913.1,913.1,,,organic,2015,Albany,NewYork
7/12/2015,2.01,1175.34,34.27,92.17,0,148.9,148.9,,,organic,2015,Albany,NewYork
7/5/2015,2.04,1573.19,50.69,183.9,0,1338.6,1338.6,,,organic,2015,Albany,NewYork
6/28/2015,2.02,1200.61,22.35,124.7,0,153.56,153.56,,,organic,2015,Albany,NewYork
6/21/2015,2.09,1053.73,17.59,107.87,0,928.27,928.27,,,organic,2015,Albany,NewYork
6/14/2015,2.03,1542.45,79.45,211.46,0,1251.54,1251.54,,,organic,2015,Albany,NewYork
6/7/2015,1.93,1547.03,25.6,125.66,0,1395.77,1395.77,,,organic,2015,Albany,NewYork
5/31/2015,1.9,1752.14,82.3,105.49,0,1564.35,1564.35,,,organic,2015,Albany,NewYork
5/24/2015,1.93,1628.65,24.09,183.55,0,1421.1,1421.1,,,organic,2015,Albany,NewYork
5/17/2015,1.87,1881.08,19.51,213.43,0,1648.14,1648.14,,,organic,2015,Albany,NewYork
5/10/2015,1.98,2117.48,46.8,523.9,0,1546.78,1546.78,,,organic,2015,Albany,NewYork
5/3/2015,2.03,1798.99,57.93,130.62,0,161.44,161.44,,,organic,2015,Albany,NewYork
4/26/2015,1.9,929.61,27.01,30.53,0,872.7,872.7,,,organic,2015,Albany,NewYork
4/19/2015,1.96,1516.24,18.01,102.45,0,1395.78,1395.78,,,organic,2015,Albany,NewYork
4/12/2015,1.76,1634.59,51.75,93.38,0,1489.46,1489.46,,,organic,2015,Albany,NewYork
4/5/2015,1.93,1526.1,15.75,202.52,0,137.83,137.83,,,organic,2015,Albany,NewYork
3/29/2015,1.93,1082.44,24.75,173.26,0,884.43,884.43,,,organic,2015,Albany,NewYork
3/22/2015,1.86,1375.02,40.57,326.78,0,17.67,17.67,,,organic,2015,Albany,NewYork
3/15/2015,1.79,1473.56,19.18,164.73,0,1289.65,1289.65,,,organic,2015,Albany,NewYork
3/8/2015,1.79,1626.32,49.73,331.14,0,1245.45,1245.45,,,organic,2015,Albany,NewYork
3/1/2015,1.76,1663.35,32.82,105.25,0,1525.28,1525.28,,,organic,2015,Albany,NewYork
2/22/2015,1.82,1152.33,11.34,31.76,0,119.23,119.23,,,organic,2015,Albany,NewYork
2/15/2015,1.81,1182.3,22.74,83.02,0,176.54,176.54,,,organic,2015,Albany,NewYork
2/8/2015,1.59,1770.87,27.36,152.74,0,159.77,159.77,,,organic,2015,Albany,NewYork
2/1/2015,1.83,1228.51,33.12,99.36,0,196.3,196.3,,,organic,2015,Albany,NewYork
1/25/2015,1.89,1115.89,14.87,148.72,0,952.3,952.3,,,organic,2015,Albany,NewYork
1/18/2015,1.93,1118.47,8.02,178.78,0,931.67,931.67,,,organic,2015,Albany,NewYork
1/11/2015,1.77,1182.56,39,305.12,0,838.44,838.44,,,organic,2015,Albany,NewYork
1/4/2015,1.79,1373.95,57.42,153.88,0,1162.65,1162.65,,,organic,2015,Albany,NewYork
12/25/2016,1.93,1714.92,77.5,250.13,0,1387.29,1387.29,,,organic,2016,Albany,NewYork
12/18/2016,1.86,1472.84,111.34,198.07,0,1163.43,1163.43,,,organic,2016,Albany,NewYork
12/11/2016,1.9,1886.63,42.26,156.72,0,1687.65,1687.65,,,organic,2016,Albany,NewYork
12/4/2016,1.97,1364.73,100.01,99.17,0,1165.55,1165.55,,,organic,2016,Albany,NewYork
11/27/2016,1.97,1646.78,50.76,177.08,0,1418.94,1418.94,,,organic,2016,Albany,NewYork
11/20/2016,1.93,1862.7,122.63,197.39,0,1542.68,1542.68,,,organic,2016,Albany,NewYork
11/13/2016,2,2084.37,75.8,191.07,0,1817.5,1817.5,,,organic,2016,Albany,NewYork
11/6/2016,1.93,2674,60.08,194.11,0,2419.81,2419.81,,,organic,2016,Albany,NewYork
10/30/2016,1.96,1326.8,57.66,93.41,0,1175.73,1175.73,,,organic,2016,Albany,NewYork
10/23/2016,1.86,1913.99,37.83,80.72,0,1795.44,1795.44,,,organic,2016,Albany,NewYork
10/16/2016,1.75,1939.89,71.5,111.86,0,1756.53,1756.53,,,organic,2016,Albany,NewYork
10/9/2016,1.75,2179.44,77.27,155.69,0,1946.48,1946.48,,,organic,2016,Albany,NewYork
10/2/2016,1.73,2492.82,51.93,139.63,0,231.26,231.26,,,organic,2016,Albany,NewYork
9/25/2016,1.68,2019.71,33.22,190.77,0,1795.72,1795.72,,,organic,2016,Albany,NewYork
9/18/2016,1.69,2137.53,47.35,194.65,0,1895.53,1895.53,,,organic,2016,Albany,NewYork
9/11/2016,1.68,3501.41,128.94,227.69,0,3144.78,3144.78,,,organic,2016,Albany,NewYork
9/4/2016,1.73,2194.77,52.26,181.76,0,196.75,196.75,,,organic,2016,Albany,NewYork
